ppid	easting	northing	draincond
35	5530.089068	4788.976857	35.0
36	5626.008678	4731.425091	36.0
37	5696.349726	4693.057247	37.0
38	5757.098812	4573.157734	38.0
39	5795.466657	4493.224726	39.0
40	5875.399665	4421.285018	40.0
41	5907.372868	4490.027406	41.0
42	5964.924635	4590.742996	42.0
43	6001.693819	4680.267966	43.0
44	6067.238886	4876.903167	44.0
45	6112.00137	5068.742387	45.0
46	6227.104903	5241.397686	46.0
47	6361.392357	5145.478076	47.0
48	6438.128045	4857.719245	48.0
49	6610.783343	4694.655907	49.0
50	6869.766291	4956.836175	50.0
51	7125.551918	4995.204019	51.0
52	7381.337546	4854.521924	52.0
53	7627.531212	4953.638855	53.0
54	7928.079324	4985.612058	54.0
55	8263.79796	4876.903167	55.0
56	8541.964829	4963.230816	56.0
57	8816.934379	4988.809379	57.0
