point	x	y	zone	nugget	sill	a	hanis	bearing
PP001	1319.291	8763.846	1	0	1	1038.138	1.5	0
PP002	2061.07	8712.688	1	0	1	1074.07	1.5	0
PP003	1677.391	9147.524	1	0	1	1029.662	1.5	0
PP004	1677.391	8226.696	1	0	1	1030.953	1.5	0
PP005	1319.291	3136.562	1	0	1	739.347	1.5	0
PP006	603.092	3724.869	1	0	1	840.47	1.5	0
PP007	603.092	3059.826	1	0	1	745.611	1.5	0
PP008	1268.134	3750.447	1	0	1	879.503	1.5	0
PP009	1779.706	3750.447	1	0	1	728.602	1.5	0
PP010	2316.855	3520.24	1	0	1	800.69	1.5	0
PP011	2572.641	3929.497	1	0	1	666.163	1.5	0
PP012	2035.491	4185.283	1	0	1	630.926	1.5	0
PP013	3825.991	4313.176	1	0	1	768.201	1.5	0
PP014	3595.784	4082.969	1	0	1	742.779	1.5	0
PP015	4158.512	4082.969	1	0	1	740.325	1.5	0
PP016	3928.305	3776.026	1	0	1	754.976	1.5	0
PP017	3928.305	3110.983	1	0	1	784.832	1.5	0
PP018	4772.397	3008.669	1	0	1	740.787	1.5	0
PP019	4158.512	3366.769	1	0	1	779.132	1.5	0
PP020	4337.562	2676.148	1	0	1	738.688	1.5	0
PP021	5974.59	9019.631	1	0	1	853.082	1.5	0
PP022	5590.911	9607.938	1	0	1	1130.117	1.5	0
PP023	6383.847	8456.903	1	0	1	902.087	1.5	0
PP024	6562.897	8994.053	1	0	1	906.343	1.5	0
PP025	6204.797	7843.017	1	0	1	932.922	1.5	0
PP026	6716.368	7919.753	1	0	1	827.902	1.5	0
PP027	5846.697	8354.589	1	0	1	925.702	1.5	0
PP028	8711.496	8789.424	1	0	1	978.354	1.5	0
PP029	8327.818	8188.328	1	0	1	1071.781	1.5	0
PP030	7163.993	7344.235	1	0	1	893.363	1.5	0
PP031	7586.039	7408.182	1	0	1	968.8	1.5	0
PP032	8020.875	7139.607	1	0	1	989.874	1.5	0
PP033	7624.407	6691.982	1	0	1	1064.342	1.5	0
PP034	8148.768	6743.139	1	0	1	938.371	1.5	0
PP035	8481.289	7472.128	1	0	1	928.482	1.5	0
PP036	7074.468	6628.036	1	0	1	923.642	1.5	0
PP037	7586.039	6244.357	1	0	1	992.209	1.5	0
PP038	8289.45	6078.096	1	0	1	809.144	1.5	0
PP039	7790.668	7868.596	1	0	1	1008.392	1.5	0
PP040	8903.335	7958.121	1	0	1	838.182	1.5	0
