ppid	easting	northing	draincond
20	1277.653015	4328.562728	20.0
21	1584.595767	4360.535932	21.0
22	1942.695646	4328.562728	22.0
23	2288.006242	4398.903776	23.0
24	2601.343636	4565.164434	24.0
25	2972.232795	4622.7162	25.0
26	3272.780907	4584.348356	26.0
27	3637.275426	4507.612667	27.0
28	3918.639616	4482.034105	28.0
29	4283.134135	4398.903776	29.0
30	4705.18042	4373.325213	30.0
31	5031.307095	4456.455542	31.0
32	5306.276644	4590.742996	32.0
33	5472.537302	4635.505481	33.0
34	5632.403319	4667.478685	34.0
37	5696.349726	4693.057247	37.0

