 
 
                   ###################################################
                   #                                                 #
                   #      GENLINPRED UNCERTAINTY/ERROR ANALYSIS      #
                   #                                                 #
                   ###################################################
 
 
 
                   ANALYSIS DETAILS
                   ----------------
 
    Name of PEST control file                                   : linunc.pst
    Factor by which to multiply observation weights             : 1.0000
    Source of parameter uncertainty data                        : uncertainty file
    Name of uncertainty file                                    : param.unc
 
    Perform global parameter estimability analysis              : yes
         Parameter identifiability                              : yes
         Relative parameter error reduction                     : no
         Relative parameter uncertainty reduction               : yes
 
    Analyse error/uncertainty of an entity                      : yes
         Name of entity                                         : p-trib_1
         Type of entity                                         : prediction
         File containing prediction sensitivities               : linunc.jco
 
         Total error variance                                   : yes
         Total uncertainty                                      : yes
 
         Parameter contributions to error variance              : no
         Parameter contributions to uncertainty                 : yes
         Parameter contributions                                : by group
 
         Observation worth in reducing error variance           : no
         Observation worth in reducing uncertainty variance     : yes
         Observation worth                                      : by group


                   ANALYSIS OF PARAMETERS
                   ----------------------


 Outcomes of running program SUPCALC ----->
 
    Number of dimensions of calibration solution space = 20
    Number of dimensions of calibration null space     = 2185

 Outcomes of parameter identifiability and error/uncertainty variance reduction analysis ----->
 
    Parameter              Identifiability        Rel_uncert_var_redn
    ---------              ---------------        -------------------
    drncpp01                3.5913889E-02          1.4474500E-02
    drncpp02                1.1033870E-02          1.3719200E-02
    drncpp03                1.8694715E-03          1.0290200E-02
    drncpp04                7.4219699E-04          1.0467700E-02
    drncpp05                1.7338795E-03          1.1386800E-02
    drncpp06                3.7964275E-03          1.3574600E-02
    drncpp07                2.4951641E-03          1.3308200E-02
    drncpp08                1.9576046E-03          1.1386400E-02
    drncpp09                1.0054843E-03          1.0014800E-02
    drncpp10                2.7357218E-03          7.2797000E-03
    drncpp11                2.5873651E-03          3.3471000E-03
    drncpp12                6.8748015E-05          4.7732000E-03
    drncpp13                1.1964484E-02          1.0585500E-02
    drncpp14                3.5576669E-03          9.9691000E-03
    drncpp15                1.3341865E-03          3.1894000E-03
    drncpp16                1.2324970E-04          3.0348000E-03
    drncpp17                1.0444662E-03          9.9427000E-03
    drncpp18                5.5586548E-04          7.7580000E-03
    drncpp19                4.9948139E-04          7.6082000E-03
    drncpp20                5.1746452E-04          5.3347000E-03
    drncpp21                8.8980274E-04          6.3352000E-03
    drncpp22                1.3115075E-03          4.4497000E-03
    drncpp23                6.0678462E-04          5.4642000E-03
    drncpp24                4.0139650E-03          5.9654000E-03
