id,x,y
1,1309.332148,4333.847157
2,1460.496205,4348.478653
3,1612.195612,4355.475678
4,1763.848578,4348.051869
5,1915.09373,4333.898336
6,2066.928499,4335.172358
7,2215.115844,4367.795891
8,2354.52422,4428.022321
9,2485.093695,4505.608463
10,2618.979413,4577.027646
11,2766.759842,4611.533506
12,2918.641246,4612.001943
13,3069.665861,4596.112365
14,3220.275874,4576.560563
15,3370.855551,4556.801986
16,3521.101327,4534.648891
17,3670.787873,4508.986039
18,3820.034932,4480.879595
19,3969.073123,4451.681317
20,4118.199905,4422.94984
21,4267.721202,4396.311716
22,4417.927645,4373.996826
23,4569.071369,4359.059764
24,4721.005047,4354.230613
25,4870.446838,4374.932196
26,5005.024517,4448.635883
27,5132.868521,4534.909053
28,5263.471305,4606.974781
29,5404.543233,4645.612418
30,5556.013315,4657.89128
31,5715.502163,4658.679868
32,1332.923718,5819.920799
33,1434.389571,5889.271289
34,1551.043495,5927.698466
35,1673.714601,5919.8004
36,1788.439916,5875.62404
37,1892.940022,5811.068756
38,1996.354684,5743.8603
39,2113.343948,5709.293492
40,2236.451669,5718.647112
41,2359.333102,5707.40207
42,2443.648057,5622.386967
43,2489.368452,5506.907437
44,2556.881581,5403.059928
45,2669.936792,5360.91433
46,2792.892397,5373.57692
47,2913.387143,5397.467269
48,3035.048535,5415.234794
49,3157.918142,5411.734147
50,3276.768837,5380.281536
51,3393.948008,5343.156497
52,3514.482383,5318.820362
53,3637.314864,5316.806689
54,3757.770866,5341.482024
55,3874.120522,5381.212906
56,3990.532234,5420.813068
57,4110.825005,5446.039881
58,4233.709353,5444.403946
59,4351.639072,5409.631621
60,4453.718476,5341.509814
61,4536.442216,5250.14207
62,4610.521113,5153.381922
63,4695.218054,5059.771993
64,4813.336905,5068.756284
65,4900.988205,5156.751177
66,5015.357405,5180.346551
67,5143.598178,5136.281076
68,5245.917228,5064.74419
69,5335.914169,4984.096263
70,5426.521064,4900.936699
71,5501.520125,4803.469521
72,5501.300268,4802.430899
73,5586.682333,4769.546377
74,5660.46097,4724.995686
75,5719.264709,4653.951575
76,5763.307578,4557.355428
77,5799.860277,4467.182662
78,5837.017358,4419.032081
79,5880.919553,4439.368888
80,5928.913244,4513.546021
81,5975.871557,4615.35442
82,6016.668982,4718.591891
83,6047.953814,4805.718833
84,6071.576728,4884.601872
85,6090.337189,4967.741285
86,6107.613351,5065.343793
87,6133.208332,5162.152514
88,6180.931164,5227.034436
89,6260.63214,5232.352546
90,6343.096709,5186.788183
91,6388.747417,5115.916193
92,6406.533235,5030.66253
93,6418.194849,4938.051191
94,6444.657609,4845.4293
95,6494.03124,4765.223825
96,6564.235374,4713.901028
97,6651.252347,4706.234898
98,6737.029026,4741.707491
99,6797.209173,4811.829237
100,6831.250629,4899.686098
101,6866.554348,4978.569693
102,6930.757671,5022.066536
103,7022.385638,5022.102091
104,7112.338695,4988.385519
105,7187.549348,4935.962823
106,7257.637991,4885.983353
107,7333.597231,4859.673802
108,7419.180973,4864.771049
109,7508.667582,4891.353634
110,7595.94708,4928.307752
111,7679.347994,4964.541808
112,7760.991011,4988.983097
113,7843.070142,4991.013926
114,7926.661567,4970.467963
115,8011.723763,4937.629156
116,8098.126494,4903.199798
117,8184.926084,4877.155665
118,8270.422021,4868.79667
119,8353.118274,4885.984389
120,8434.054157,4921.226391
121,8515.824575,4957.609641
122,8600.794708,4979.355738
123,8688.643106,4984.223574
124,8777.42517,4978.150693
125,8812.104756,4973.73887
