* observation data			
h1-3892_1	89.84313	1.00E+01	heads1
h1-1664_1	84.66009	1.00E+01	heads1
h1-162_1	85.48545	1.00E+01	heads1
h3-3521_1	94.85694	1.00E+01	heads3
h3-3988_1	94.84176	1.00E+01	heads3
h3-3417_1	91.62516	1.00E+01	heads3
h3-3829_1	90.0632	    1.00E+01	heads3
h3-3357_1	88.31318	1.00E+01	heads3
h3-3594_1	89.08431	1.00E+01	heads3
h3-3892_1	89.7394     1.00E+01	heads3
h3-1152_1	84.79649	1.00E+01	heads3
h3-313_1	98.44412	1.00E+01	heads3
h3-209_1	90.80855	1.00E+01	heads3
h3-331_1	88.26986	1.00E+01	heads3
h3-707_1	86.52537	1.00E+01	heads3
h3-3956_1	87.48643	1.00E+01	heads3
h3-2270_1	84.60294	1.00E+01	heads3
h3-521_1	85.67934	1.00E+01	heads3
trib_1	-8385.727	1.19E-03	streams
total_1	-11233.4	8.90E-04	streams
dh3892_1	0.1037272	1.00E+02	headiff
p-trib_1	-6000	0.00E+00	pstreams
p-total_1	-6000	0.00E+00	pstreams


