pointid               x            y           k1                 k2                 k3                k4
 pp1                 0.000      10000.000        9.2142420E-01      7.6823421E-02      9.7983138E-06     9.8063640E-02
 pp2               500.000      10000.000        6.8654590E-01      1.4535460E-01      7.1424079E-06     1.6205590E-01
 pp3              1000.000      10000.000        1.3019240E+00      1.3422580E-01      8.7035860E-06     2.2761600E-01
 pp4              1500.000      10000.000        9.6548100E-01      1.1739860E-01      1.0326694E-05     1.6450490E-01
 pp5              2000.000      10000.000        1.5447650E+00      1.8447090E-01      8.8125526E-06     9.9926159E-02
 pp6              2500.000      10000.000        1.7613810E+00      2.3582560E-01      8.0824530E-06     4.1896407E-02
 pp7              3000.000      10000.000        1.5729400E+00      1.4146520E-01      7.4452632E-06     4.9007703E-02
 pp8              3500.000      10000.000        1.6696620E+00      1.2588100E-01      6.0439461E-06     4.1273464E-02
 pp9              4000.000      10000.000        1.6679120E+00      1.1503650E-01      9.8651117E-06     4.7691885E-02
 pp10             4500.000      10000.000        1.5610490E+00      1.4899350E-01      5.5709193E-06     6.5493502E-02
 pp11             5000.000      10000.000        7.8368970E-01      2.3606790E-01      4.0477971E-06     5.5073459E-02
 pp12             5500.000      10000.000        6.5572420E-01      2.8559920E-01      5.7172588E-06     3.1188756E-02
 pp13             6000.000      10000.000        4.3650070E-01      2.0482390E-01      5.5255118E-06     4.0784597E-02
 pp14             6500.000      10000.000        4.3678750E-01      1.5534370E-01      5.3256686E-06     6.2869430E-02
 pp15             7000.000      10000.000        3.0322520E-01      1.6080390E-01      8.1912394E-06     3.7250955E-02
 pp16             7500.000      10000.000        3.8274910E-01      1.9438020E-01      1.3641240E-05     3.4022320E-02
 pp17                0.000       9500.000        9.7181920E-01      4.8385970E-02      6.9675571E-06     8.7842509E-02
 pp18              500.000       9500.000        7.2574530E-01      5.1637024E-02      7.7809773E-06     1.3529180E-01
 pp19             1000.000       9500.000        5.4238800E-01      9.0653926E-02      1.0158426E-05     1.6128280E-01
 pp20             1500.000       9500.000        9.2580510E-01      9.8249033E-02      1.3704757E-05     1.1931900E-01
 pp21             2000.000       9500.000        1.1308120E+00      1.3041230E-01      1.7670454E-05     9.6232213E-02
 pp22             2500.000       9500.000        1.1545140E+00      3.2207370E-01      1.1717148E-05     4.5030624E-02
 pp23             3000.000       9500.000        1.0338640E+00      2.2856100E-01      9.2076843E-06     6.2910445E-02
 pp24             3500.000       9500.000        1.3797550E+00      2.2610570E-01      8.3448431E-06     8.5862078E-02
 pp25             4000.000       9500.000        1.3711830E+00      1.8727410E-01      7.6919832E-06     5.0206698E-02
 pp26             4500.000       9500.000        1.6551440E+00      1.0995040E-01      5.6819326E-06     6.0722683E-02
 pp27             5000.000       9500.000        8.4001280E-01      9.4887413E-02      3.9216702E-06     1.0543690E-01
 pp28             5500.000       9500.000        3.4112140E-01      1.0294610E-01      5.8888177E-06     6.1263140E-02
 pp29             6000.000       9500.000        3.5361430E-01      1.9219210E-01      7.3471178E-06     7.1055435E-02
 pp30             6500.000       9500.000        3.1845750E-01      1.3989650E-01      7.5118633E-06     5.8601767E-02
 pp31             7000.000       9500.000        2.2633150E-01      2.5975120E-01      1.0204224E-05     4.1386332E-02
 pp32             7500.000       9500.000        2.7109450E-01      2.4742040E-01      9.3655399E-06     6.1575927E-02
 pp33                0.000       9000.000        1.6037280E+00      7.8043886E-02      1.2907489E-05     9.8026261E-02
 pp34              500.000       9000.000        7.4295220E-01      6.2563345E-02      1.2498257E-05     1.2982400E-01
 pp35             1000.000       9000.000        7.8380180E-01      7.9954103E-02      1.6197104E-05     1.4751240E-01
 pp36             1500.000       9000.000        1.0580740E+00      1.2134470E-01      1.4069919E-05     7.2358899E-02
 pp37             2000.000       9000.000        9.3423010E-01      1.5048180E-01      8.3617469E-06     1.1097530E-01
 pp38             2500.000       9000.000        6.6704170E-01      1.6688560E-01      1.1069183E-05     6.2023383E-02
