point_id     x			 y		    slider_track_id
1           2638.015416941      9464.0540508309       1
2           3024.7926632224     9270.6654276902       1
3           3508.2642210741     9028.9296487644       1
4           3862.8100301654     8883.8881814088       1
5           1961.1552359486     7207.8534475229       2
6           3862.8100301654     7111.1591359525       2
7           2009.5023917338     4661.5699095038       3
8           2460.7425123954     4774.3799396692       3
9           3057.0241004125     4871.0742512395       3
10          3459.917065289      4983.8842814049       3
11          1445.4522409068     3178.9237987585       4
12          1993.3866731387     2888.8408640475       4
13          2734.7097285114     2485.947899171        4
14          655.78202974897     1712.3934066083       5
15          2444.6267938003     1164.4589743763       5
16          494.6248437984      6063.6374272738       6
17          865.28637148472     6257.0260504145       6
18          1397.1050851216     6514.8775479354       6
19          1703.3037384277     6643.8032966959       6
20          1461.5679595018     4000.8254471064       7
21          2412.3953566102     4903.3056884297       7
22          3202.065567768      2211.9806830551       8
23          3266.5284421483     2727.6836780969       8
24          3766.1157185951     3114.4609243783       8
25          4281.8187136369     3243.3866731387       8
26          4040.082934711      1567.3519392528       9
27          4668.5959599183     1502.8890648725       9
28          5313.2247037206     1680.1619694182       9
29          5748.3491057871     2179.7492458649       9
30          5941.7377289278     2550.4107735513       9
