real_name,par1,par2,par3,par4,par5,par6,par7,par8,par9,par10,par11,par12,par13,par14
0,0.0173098,0.130571,0.158805,0.752378,-0.729731,0.930157,0.179338,0.115414,-1.53188,-0.0922908,-1.97565,-0.621682,-0.123234,0.526534
1,-0.185444,1.37494,-0.621383,-0.107981,0.988935,-0.19283,-0.860929,-0.83437,0.279471,-1.2324,1.33825,0.563635,0.836754,-0.442245
2,-1.48117,-0.32405,1.34269,0.64872,-0.0731648,0.491347,1.07213,0.287337,-0.307087,-0.799825,0.844009,1.93313,-1.48561,-0.249054
3,-0.552977,1.61009,0.470003,0.996883,-1.81591,0.727972,-0.701718,-0.480738,-1.43857,0.430807,1.98165,-0.330939,2.06286,1.67296
4,-1.31438,1.11625,1.9863,-0.658711,-1.3366,-0.728606,1.11189,0.963108,-0.2004,-0.645641,0.639226,-0.991117,-0.298248,0.421212
5,-0.655596,1.22383,1.45521,0.314541,-1.09419,-0.478207,0.50061,0.473526,-0.0111017,-1.10939,-0.364137,-0.703693,0.85556,0.976984
6,-0.714746,-0.118309,-1.01108,-0.817749,-1.51109,2.28018,-0.116476,0.653663,-0.175312,0.288712,-0.679523,1.2356,0.304847,0.133646
7,-2.05364,-0.197711,0.228105,-1.18917,-0.415177,-1.21019,-0.818676,-0.0165856,0.74169,-0.283514,-0.467778,-1.12333,-1.37814,-0.779372
8,-0.303725,-0.190902,-1.45167,-1.40916,0.00285225,0.354046,-0.764677,1.29094,0.022265,0.580539,0.880555,-0.635996,-1.81864,-0.0435123
9,-0.833772,-0.118407,-0.644733,1.22637,1.28629,2.63193,-0.898424,-0.241783,1.09488,-1.2036,-0.267387,-1.3385,1.82037,1.52041
10,-1.06591,-0.241661,-0.683678,-0.0720077,-0.073155,-1.89014,0.288309,-0.836049,0.554381,-2.23638,-0.829449,-0.0936678,0.670229,1.12359
11,-1.58328,-0.174443,-0.299302,-0.734662,-0.0684469,-2.26432,0.720475,1.10005,1.95407,0.131374,1.31387,-1.91267,-0.12351,0.0390389
12,-0.853786,-1.62266,0.528336,2.72322,0.361479,1.16652,1.37584,0.342045,1.23102,1.10833,0.0298244,-0.880306,0.3219,2.02078
13,-1.59877,-0.832106,-0.675456,-0.544987,-0.586004,0.0567087,-0.262529,0.87506,0.234203,0.26244,0.0747939,1.8303,1.91137,0.0960848
14,-0.212239,0.581643,0.307845,-0.345406,-1.03576,-0.109103,-0.978544,0.74502,-0.601566,0.614197,1.20044,0.283994,-1.26419,-1.8283
15,0.0347622,-0.676801,-0.201648,0.151339,-0.617676,1.91487,-0.0810593,-0.299294,-0.680802,0.0926016,0.546942,0.915318,-1.02742,0.714138
16,1.37211,-0.165259,1.5402,0.360566,0.357644,-0.879249,-0.653792,-1.32605,1.55182,2.20491,-1.05259,-0.553133,-0.0283728,-0.0736829
17,0.967075,-1.82312,-2.3421,1.7173,0.754616,0.935354,-1.00316,-0.840931,-0.223118,-0.721372,0.14433,0.111152,-1.10572,-1.64894
18,-1.20405,-0.146812,-0.841304,-1.02516,-0.130843,-0.24736,0.819246,1.1031,0.530835,-0.151042,0.729376,-0.887598,0.717312,-0.701599
19,-0.585585,1.10239,0.393818,1.16486,0.308539,1.66605,-1.19171,-0.746042,-2.39338,0.365128,-1.09987,1.77059,0.677112,1.34632
20,-0.660785,0.840659,1.18341,0.596875,-0.313081,0.220576,-0.721149,0.420567,-1.53512,-1.88588,0.859198,-0.81145,0.320111,0.351048
21,-0.702722,1.04589,-0.720988,-1.20243,-0.138842,0.129006,-0.182006,0.920811,1.20891,-0.868211,0.398635,0.390306,-0.324204,0.445007
22,1.29352,-1.07323,1.55706,1.26644,-1.53369,0.588892,-0.808903,-0.318673,-1.49042,-1.56254,0.000532172,-0.492055,-0.0468685,0.41512
23,2.01774,-0.570408,0.996319,0.0417733,-1.39923,-0.0689141,-0.275512,0.986759,0.216033,-0.176076,-0.538625,0.533569,0.926133,1.81674
