pointid               x            y             kh1           kh2            kh3          kh4
 pp1                 0.000      10000.000        1.0           0.1           1.0e-5       0.05
 pp2               500.000      10000.000        1.0           0.1           1.0e-5       0.05
 pp3              1000.000      10000.000        1.0           0.1           1.0e-5       0.05
 pp4              1500.000      10000.000        1.0           0.1           1.0e-5       0.05
 pp5              2000.000      10000.000        1.0           0.1           1.0e-5       0.05
 pp6              2500.000      10000.000        1.0           0.1           1.0e-5       0.05
 pp7              3000.000      10000.000        1.0           0.1           1.0e-5       0.05
 pp8              3500.000      10000.000        1.0           0.1           1.0e-5       0.05
 pp9              4000.000      10000.000        1.0           0.1           1.0e-5       0.05
 pp10             4500.000      10000.000        1.0           0.1           1.0e-5       0.05
 pp11             5000.000      10000.000        1.0           0.1           1.0e-5       0.05
 pp12             5500.000      10000.000        1.0           0.1           1.0e-5       0.05
 pp13             6000.000      10000.000        1.0           0.1           1.0e-5       0.05
 pp14             6500.000      10000.000        1.0           0.1           1.0e-5       0.05
 pp15             7000.000      10000.000        1.0           0.1           1.0e-5       0.05
 pp16             7500.000      10000.000        1.0           0.1           1.0e-5       0.05
 pp17                0.000       9500.000        1.0           0.1           1.0e-5       0.05
 pp18              500.000       9500.000        1.0           0.1           1.0e-5       0.05
 pp19             1000.000       9500.000        1.0           0.1           1.0e-5       0.05
 pp20             1500.000       9500.000        1.0           0.1           1.0e-5       0.05
 pp21             2000.000       9500.000        1.0           0.1           1.0e-5       0.05
 pp22             2500.000       9500.000        1.0           0.1           1.0e-5       0.05
 pp23             3000.000       9500.000        1.0           0.1           1.0e-5       0.05
 pp24             3500.000       9500.000        1.0           0.1           1.0e-5       0.05
 pp25             4000.000       9500.000        1.0           0.1           1.0e-5       0.05
 pp26             4500.000       9500.000        1.0           0.1           1.0e-5       0.05
 pp27             5000.000       9500.000        1.0           0.1           1.0e-5       0.05
 pp28             5500.000       9500.000        1.0           0.1           1.0e-5       0.05
 pp29             6000.000       9500.000        1.0           0.1           1.0e-5       0.05
 pp30             6500.000       9500.000        1.0           0.1           1.0e-5       0.05
 pp31             7000.000       9500.000        1.0           0.1           1.0e-5       0.05
 pp32             7500.000       9500.000        1.0           0.1           1.0e-5       0.05
 pp33                0.000       9000.000        1.0           0.1           1.0e-5       0.05
 pp34              500.000       9000.000        1.0           0.1           1.0e-5       0.05
 pp35             1000.000       9000.000        1.0           0.1           1.0e-5       0.05
 pp36             1500.000       9000.000        1.0           0.1           1.0e-5       0.05
 pp37             2000.000       9000.000        1.0           0.1           1.0e-5       0.05
 pp38             2500.000       9000.000        1.0           0.1           1.0e-5       0.05
 pp39             3000.000       9000.000        1.0           0.1           1.0e-5       0.05
 pp40             3500.000       9000.000        1.0           0.1           1.0e-5       0.05
 pp41             4000.000       9000.000        1.0           0.1           1.0e-5       0.05
 pp42             4500.000       9000.000        1.0           0.1           1.0e-5       0.05
 pp43             5000.000       9000.000        1.0           0.1           1.0e-5       0.05
 pp44             5500.000       9000.000        1.0           0.1           1.0e-5       0.05
 pp45             6000.000       9000.000        1.0           0.1           1.0e-5       0.05
 pp46             6500.000       9000.000        1.0           0.1           1.0e-5       0.05
 pp47             7000.000       9000.000        1.0           0.1           1.0e-5       0.05
 pp48             7500.000       9000.000        1.0           0.1           1.0e-5       0.05
 pp49                0.000       8500.000        1.0           0.1           1.0e-5       0.05
 pp50              500.000       8500.000        1.0           0.1           1.0e-5       0.05
 pp51             1000.000       8500.000        1.0           0.1           1.0e-5       0.05
 pp52             1500.000       8500.000        1.0           0.1           1.0e-5       0.05
 pp53             2000.000       8500.000        1.0           0.1           1.0e-5       0.05
 pp54             2500.000       8500.000        1.0           0.1           1.0e-5       0.05
 pp55             3000.000       8500.000        1.0           0.1           1.0e-5       0.05
 pp56             3500.000       8500.000        1.0           0.1           1.0e-5       0.05
 pp57             4000.000       8500.000        1.0           0.1           1.0e-5       0.05
 pp58             4500.000       8500.000        1.0           0.1           1.0e-5       0.05
 pp59             5000.000       8500.000        1.0           0.1           1.0e-5       0.05
 pp60             5500.000       8500.000        1.0           0.1           1.0e-5       0.05
 pp61             6000.000       8500.000        1.0           0.1           1.0e-5       0.05
 pp62             6500.000       8500.000        1.0           0.1           1.0e-5       0.05
 pp63             7000.000       8500.000        1.0           0.1           1.0e-5       0.05
 pp64             7500.000       8500.000        1.0           0.1           1.0e-5       0.05
 pp65                0.000       8000.000        1.0           0.1           1.0e-5       0.05
 pp66              500.000       8000.000        1.0           0.1           1.0e-5       0.05
 pp67             1000.000       8000.000        1.0           0.1           1.0e-5       0.05
 pp68             1500.000       8000.000        1.0           0.1           1.0e-5       0.05
 pp69             2000.000       8000.000        1.0           0.1           1.0e-5       0.05
 pp70             2500.000       8000.000        1.0           0.1           1.0e-5       0.05
 pp71             3000.000       8000.000        1.0           0.1           1.0e-5       0.05
 pp72             3500.000       8000.000        1.0           0.1           1.0e-5       0.05
 pp73             4000.000       8000.000        1.0           0.1           1.0e-5       0.05
 pp74             4500.000       8000.000        1.0           0.1           1.0e-5       0.05
 pp75             5000.000       8000.000        1.0           0.1           1.0e-5       0.05
 pp76             5500.000       8000.000        1.0           0.1           1.0e-5       0.05
 pp77             6000.000       8000.000        1.0           0.1           1.0e-5       0.05
 pp78             6500.000       8000.000        1.0           0.1           1.0e-5       0.05
 pp79             7000.000       8000.000        1.0           0.1           1.0e-5       0.05
 pp80             7500.000       8000.000        1.0           0.1           1.0e-5       0.05
 pp81                0.000       7500.000        1.0           0.1           1.0e-5       0.05
 pp82              500.000       7500.000        1.0           0.1           1.0e-5       0.05
 pp83             1000.000       7500.000        1.0           0.1           1.0e-5       0.05
 pp84             1500.000       7500.000        1.0           0.1           1.0e-5       0.05
 pp85             2000.000       7500.000        1.0           0.1           1.0e-5       0.05
 pp86             2500.000       7500.000        1.0           0.1           1.0e-5       0.05
 pp87             3000.000       7500.000        1.0           0.1           1.0e-5       0.05
 pp88             3500.000       7500.000        1.0           0.1           1.0e-5       0.05
 pp89             4000.000       7500.000        1.0           0.1           1.0e-5       0.05
 pp90             4500.000       7500.000        1.0           0.1           1.0e-5       0.05
 pp91             5000.000       7500.000        1.0           0.1           1.0e-5       0.05
 pp92             5500.000       7500.000        1.0           0.1           1.0e-5       0.05
 pp93             6000.000       7500.000        1.0           0.1           1.0e-5       0.05
 pp94             6500.000       7500.000        1.0           0.1           1.0e-5       0.05
