point_id     x			 y		    slider_track_id
1            6280.167819424       7433.4735078537    1
2            6199.5892264487      6643.8032966959    1
3            5941.7377289278      6095.8688644639    1
4            5796.6962615723      5547.934432232     1
5            5635.5390756217      5290.082934711     1
6            4491.3230553726      6402.06751777      2
7            4781.4059900837      6144.2160202491    2
8            5071.4889247947      5773.5544925628    2
9            5409.9190152909      5402.8929648764    2
10           3830.5785929753      4806.6113768593    3
11           4620.2488041331      4838.8428140494    3
12           5135.9517991749      4983.8842814049    3
13           5361.5718595057      5016.1157185951    3
14           5055.3732061997      3049.9980499981    4
15           5039.2574876046      3630.1639194201    4
16           5087.6046433898      4033.0568842966    4
17           5232.6461107453      4564.8755979334    4
18           5393.8032966959      4790.4956582643    4
19           6957.0280004164      4129.7511958669    5
20           6489.6721611598      4307.0241004125    5
21           6119.0106334734      4500.4127235532    5
22           5796.6962615723      4742.1485024791    5
23           5619.4233570267      4871.0742512395    5
24           6940.9122818214      5789.6702111578    6
25           6489.6721611598      5435.1244020666    6
26           6151.2420706636      5225.6200603308    6
27           5716.117668597       5048.3471557852    6
