 point             x              y          zone  nugget  sill           a         hanis     bearing
 PP01                0.000          0.000       1  0.0     1.0           5125.000   1.0       0.0
 PP02                0.000        250.000       1  0.0     1.0           4881.250   1.0       0.0
 PP03                0.000        500.000       1  0.0     1.0           4650.000   1.0       0.0
 PP04                0.000        750.000       1  0.0     1.0           4431.250   1.0       0.0
 PP05                0.000       1000.000       1  0.0     1.0           4225.000   1.0       0.0
 PP06                0.000       1250.000       1  0.0     1.0           4031.250   1.0       0.0
 PP07                0.000       1500.000       1  0.0     1.0           3850.000   1.0       0.0
 PP08                0.000       1750.000       1  0.0     1.0           3681.250   1.0       0.0
 PP09                0.000       2000.000       1  0.0     1.0           3525.000   1.0       0.0
 PP10                0.000       2250.000       1  0.0     1.0           3381.250   1.0       0.0
 PP11                0.000       2500.000       1  0.0     1.0           3250.000   1.0       0.0
 PP12                0.000       2750.000       1  0.0     1.0           3131.250   1.0       0.0
 PP13                0.000       3000.000       1  0.0     1.0           3025.000   1.0       0.0
 PP14                0.000       3250.000       1  0.0     1.0           2931.250   1.0       0.0
 PP15                0.000       3500.000       1  0.0     1.0           2850.000   1.0       0.0
 PP16                0.000       3750.000       1  0.0     1.0           2781.250   1.0       0.0
 PP17                0.000       4000.000       1  0.0     1.0           2725.000   1.0       0.0
 PP18                0.000       4250.000       1  0.0     1.0           2681.250   1.0       0.0
 PP19                0.000       4500.000       1  0.0     1.0           2650.000   1.0       0.0
 PP20                0.000       4750.000       1  0.0     1.0           2631.250   1.0       0.0
 PP21                0.000       5000.000       1  0.0     1.0           2625.000   1.0       0.0
 PP22                0.000       5250.000       1  0.0     1.0           2631.250   1.0       0.0
 PP23                0.000       5500.000       1  0.0     1.0           2650.000   1.0       0.0
 PP24                0.000       5750.000       1  0.0     1.0           2681.250   1.0       0.0
 PP25                0.000       6000.000       1  0.0     1.0           2725.000   1.0       0.0
 PP26                0.000       6250.000       1  0.0     1.0           2781.250   1.0       0.0
 PP27                0.000       6500.000       1  0.0     1.0           2850.000   1.0       0.0
 PP28                0.000       6750.000       1  0.0     1.0           2931.250   1.0       0.0
 PP29                0.000       7000.000       1  0.0     1.0           3025.000   1.0       0.0
 PP30                0.000       7250.000       1  0.0     1.0           3131.250   1.0       0.0
 PP31                0.000       7500.000       1  0.0     1.0           3250.000   1.0       0.0
 PP32                0.000       7750.000       1  0.0     1.0           3381.250   1.0       0.0
 PP33                0.000       8000.000       1  0.0     1.0           3525.000   1.0       0.0
 PP34                0.000       8250.000       1  0.0     1.0           3681.250   1.0       0.0
 PP35                0.000       8500.000       1  0.0     1.0           3850.000   1.0       0.0
 PP36                0.000       8750.000       1  0.0     1.0           4031.250   1.0       0.0
 PP37                0.000       9000.000       1  0.0     1.0           4225.000   1.0       0.0
 PP38                0.000       9250.000       1  0.0     1.0           4431.250   1.0       0.0
 PP39                0.000       9500.000       1  0.0     1.0           4650.000   1.0       0.0
 PP40                0.000       9750.000       1  0.0     1.0           4881.250   1.0       0.0
 PP41                0.000      10000.000       1  0.0     1.0           5125.000   1.0       0.0
