ppid	easting	northing	zone	ghbcond1	ghbcond3
01	0	0	1	       1.0000000E+00	       1.0000000E+00
02	0	250	1	       1.0000000E+00	       1.0000000E+00
03	0	500	1	       1.0000000E+00	       1.0000000E+00
04	0	750	1	       1.0000000E+00	       1.0000000E+00
05	0	1000	1	       1.0000000E+00	       1.0000000E+00
06	0	1250	1	       1.0000000E+00	       1.0000000E+00
07	0	1500	1	       1.0000000E+00	       1.0000000E+00
08	0	1750	1	       1.0000000E+00	       1.0000000E+00
09	0	2000	1	       1.0000000E+00	       1.0000000E+00
10	0	2250	1	       1.0000000E+00	       1.0000000E+00
11	0	2500	1	       1.0000000E+00	       1.0000000E+00
12	0	2750	1	       1.0000000E+00	       1.0000000E+00
13	0	3000	1	       1.0000000E+00	       1.0000000E+00
14	0	3250	1	       1.0000000E+00	       1.0000000E+00
15	0	3500	1	       1.0000000E+00	       1.0000000E+00
16	0	3750	1	       1.0000000E+00	       1.0000000E+00
17	0	4000	1	       1.0000000E+00	       1.0000000E+00
18	0	4250	1	       1.0000000E+00	       1.0000000E+00
19	0	4500	1	       1.0000000E+00	       1.0000000E+00
20	0	4750	1	       1.0000000E+00	       1.0000000E+00
21	0	5000	1	       1.0000000E+00	       1.0000000E+00
22	0	5250	1	       1.0000000E+00	       1.0000000E+00
23	0	5500	1	       1.0000000E+00	       1.0000000E+00
24	0	5750	1	       1.0000000E+00	       1.0000000E+00
25	0	6000	1	       1.0000000E+00	       1.0000000E+00
26	0	6250	1	       1.0000000E+00	       1.0000000E+00
27	0	6500	1	       1.0000000E+00	       1.0000000E+00
28	0	6750	1	       1.0000000E+00	       1.0000000E+00
29	0	7000	1	       1.0000000E+00	       1.0000000E+00
30	0	7250	1	       1.0000000E+00	       1.0000000E+00
31	0	7500	1	       1.0000000E+00	       1.0000000E+00
32	0	7750	1	       1.0000000E+00	       1.0000000E+00
33	0	8000	1	       1.0000000E+00	       1.0000000E+00
34	0	8250	1	       1.0000000E+00	       1.0000000E+00
35	0	8500	1	       1.0000000E+00	       1.0000000E+00
36	0	8750	1	       1.0000000E+00	       1.0000000E+00
37	0	9000	1	       1.0000000E+00	       1.0000000E+00
38	0	9250	1	       1.0000000E+00	       1.0000000E+00
39	0	9500	1	       1.0000000E+00	       1.0000000E+00
40	0	9750	1	       1.0000000E+00	       1.0000000E+00
41	0	10000	1	       1.0000000E+00	       1.0000000E+00
